Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2020","2020","%","75.1"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2010","2010","%","47.2"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2011","2011","%","46"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2012","2012","%","44.7"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2013","2013","%","43.4"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2014","2014","%","42.1"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2015","2015","%","41.1"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2016","2016","%","39.9"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2017","2017","%","38.6"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","37.4"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2019","2019","%","36.3"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2020","2020","%","35.1"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","119"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","121"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","122"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","124"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","126"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","126"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","126"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","126"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","126"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","125"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","%","123"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","3.7"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","3.4"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","3.2"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","3.2"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","2.8"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","2.8"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","2.7"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","2.8"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","2.9"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","3.1"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","3.5"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2010","2010","%","98.2"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2011","2011","%","98.5"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2012","2012","%","98.8"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2013","2013","%","99"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2014","2014","%","99"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2015","2015","%","99"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2016","2016","%","99"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2017","2017","%","99"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2018","2018","%","99"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2019","2019","%","99"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2020","2020","%","99"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2010","2010","%","15.6"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2011","2011","%","14.7"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2012","2012","%","14"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2013","2013","%","13.3"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2014","2014","%","12.6"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2015","2015","%","12"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2016","2016","%","11.2"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2017","2017","%","10.6"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","10"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2019","2019","%","9.5"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2020","2020","%","9.1"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","126"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","127"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","128"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","128"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","128"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","128"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","129"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","130"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","131"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","131"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","%","130"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","<2.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2010","2010","%","86"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2011","2011","%","87.3"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2012","2012","%","88.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2013","2013","%","89.8"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2014","2014","%","91.2"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2015","2015","%","92.4"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2016","2016","%","93.2"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2017","2017","%","93.9"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2018","2018","%","94.7"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2019","2019","%","95.4"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2020","2020","%","96"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2010","2010","%","18.4"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2011","2011","%","17.7"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2012","2012","%","17.2"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2013","2013","%","16.9"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2014","2014","%","16.6"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2015","2015","%","16.5"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2016","2016","%","16.4"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2017","2017","%","16.4"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","16.3"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2019","2019","%","16.3"
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2020","2020","%","16.3"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%",""
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2010","2010","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2011","2011","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2012","2012","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2013","2013","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2014","2014","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2015","2015","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2016","2016","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2017","2017","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2018","2018","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2019","2019","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2020","2020","%","99"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2010","2010","%","6.8"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2011","2011","%","6.6"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2012","2012","%","6.3"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2013","2013","%","6.1"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2014","2014","%","5.9"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2015","2015","%","5.8"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2016","2016","%","5.6"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2017","2017","%","5.5"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","5.3"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2019","2019","%","5.2"
"FS","Suite of Food Security Indicators","048","Bahrain","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2020","2020","%","5.1"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","108"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","107"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","108"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","108"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","109"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","109"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","110"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","111"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","112"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","112"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","%","112"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","15.2"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","15.8"
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","15.3"
