Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1978","1978","index","165.61","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1979","1979","index","161.81","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1980","1980","index","161.74","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1981","1981","index","163.43","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1982","1982","index","164.95","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1983","1983","index","164.91","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1984","1984","index","163.09","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1985","1985","index","155.26","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1986","1986","index","144.76","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1987","1987","index","150.3","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1988","1988","index","148.84","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1989","1989","index","144.73","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1990","1990","index","148.37","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1991","1991","index","159.98","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1992","1992","index","142.54","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1993","1993","index","137.58","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1994","1994","index","134.48","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1995","1995","index","132.3","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1996","1996","index","133.64","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1997","1997","index","139.21","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1998","1998","index","143.51","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1999","1999","index","139.44","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2000","2000","index","115.11","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2001","2001","index","100.65","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2002","2002","index","115.61","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2003","2003","index","112.78","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2004","2004","index","105.25","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2005","2005","index","113.34","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2006","2006","index","101.79","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2007","2007","index","108.47","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2008","2008","index","100.03","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2009","2009","index","113.22","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2010","2010","index","109.41","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2011","2011","index","101.25","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2012","2012","index","107.15","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2013","2013","index","100.45","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2014","2014","index","104.58","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2015","2015","index","95.95","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2016","2016","index","99.48","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2017","2017","index","95.12","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2018","2018","index","90.41","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2019","2019","index","99.98","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2020","2020","index","104.44","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1961","1961","index","39.09","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1962","1962","index","40.21","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1963","1963","index","38.36","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1964","1964","index","40.97","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1965","1965","index","38.24","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1966","1966","index","42.03","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1967","1967","index","43.3","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1968","1968","index","42.08","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1969","1969","index","41.76","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1970","1970","index","42.03","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1971","1971","index","42.4","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1972","1972","index","42.41","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1973","1973","index","44.48","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1974","1974","index","44.5","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1975","1975","index","44.27","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1976","1976","index","47.48","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1977","1977","index","48.52","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1978","1978","index","49.61","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1979","1979","index","50.04","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1980","1980","index","47.74","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1981","1981","index","48.69","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1982","1982","index","49.19","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1983","1983","index","52.04","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1984","1984","index","47.66","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1985","1985","index","46.36","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1986","1986","index","45.34","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1987","1987","index","45.59","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1988","1988","index","41.94","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1989","1989","index","46.28","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1990","1990","index","44.73","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1991","1991","index","37.29","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1992","1992","index","41.99","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1993","1993","index","48.08","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1994","1994","index","53.12","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1995","1995","index","57.98","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1996","1996","index","58.63","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1997","1997","index","55.7","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1998","1998","index","57.84","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1999","1999","index","57.04","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2000","2000","index","59.86","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2001","2001","index","61.29","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2002","2002","index","61.71","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2003","2003","index","64.66","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2004","2004","index","68.08","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2005","2005","index","67.34","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2006","2006","index","70.42","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2007","2007","index","72.06","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2008","2008","index","74.89","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2009","2009","index","78.38","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2010","2010","index","84.07","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2011","2011","index","88.83","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2012","2012","index","94.28","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2013","2013","index","95.29","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2014","2014","index","96.76","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2015","2015","index","100.03","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2016","2016","index","103.21","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2017","2017","index","103.96","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2018","2018","index","106.25","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2019","2019","index","103.13","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2020","2020","index","105.94","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1961","1961","index","78.24","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1962","1962","index","79.64","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1963","1963","index","77.77","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1964","1964","index","68.53","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1965","1965","index","76.43","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1966","1966","index","50.97","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1967","1967","index","54.55","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1968","1968","index","67.64","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1969","1969","index","61.18","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1970","1970","index","60.92","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1971","1971","index","61.82","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1972","1972","index","55.19","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1973","1973","index","51.19","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1974","1974","index","53.43","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1975","1975","index","56.82","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1976","1976","index","51.9","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1977","1977","index","42.4","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1978","1978","index","41.62","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1979","1979","index","45.33","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1980","1980","index","47.69","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1981","1981","index","47.16","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1982","1982","index","42.3","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1983","1983","index","42.91","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1984","1984","index","44.69","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1985","1985","index","52.91","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1986","1986","index","51.64","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1987","1987","index","50.67","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1988","1988","index","47.03","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1989","1989","index","50.79","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1990","1990","index","48.49","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1991","1991","index","55.13","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1992","1992","index","57.53","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1993","1993","index","53.97","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1994","1994","index","49.25","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1995","1995","index","53.84","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1996","1996","index","62.07","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1997","1997","index","50.02","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1998","1998","index","55.15","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1999","1999","index","56.83","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2000","2000","index","52.36","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2001","2001","index","55.63","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2002","2002","index","56.73","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2003","2003","index","65.51","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2004","2004","index","70.67","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2005","2005","index","71.54","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2006","2006","index","74.36","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2007","2007","index","67.48","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2008","2008","index","67.45","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2009","2009","index","82.08","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2010","2010","index","84.19","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2011","2011","index","91.32","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2012","2012","index","95.13","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2013","2013","index","101.82","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2014","2014","index","98.94","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2015","2015","index","100.23","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2016","2016","index","100.83","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2017","2017","index","98.93","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2018","2018","index","102.16","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2019","2019","index","103.57","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2020","2020","index","101.86","E","Estimated value"
"QI","Production Indices","024","Angola","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1961","1961","index","110.96","E","Estimated value"
"QI","Production Indices","024","Angola","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1962","1962","index","116.1","E","Estimated value"
"QI","Production Indices","024","Angola","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1963","1963","index","112.59","E","Estimated value"
"QI","Production Indices","024","Angola","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1964","1964","index","120.6","E","Estimated value"
"QI","Production Indices","024","Angola","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1965","1965","index","124.41","E","Estimated value"
"QI","Production Indices","024","Angola","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1966","1966","index","129.42","E","Estimated value"
